CPF,Endereço do Imóvel,Tipo de Imóvel,Área do Imóvel (m²),Valor do Imóvel,Número de Quartos,Número de Banheiros,Tem Piscina?,Tem Garagem?,Tem Elevador?,Condomínio Fechado?,Valor do Condomínio,Ano de Construção,Tipo de Oferta,Data da Última Reforma
279.038.415-05,"Praia de da Paz, 34
Solar Do Barreiro
22771806 Vargas / BA",Casa,321,1034583,2,3,Sim,Sim,Sim,Não,1500,2017,Venda,15/02/2024
183.904.675-93,"Rodovia Moreira, 3
Jaraguá
67393050 Mendes / RS",Casa,217,906409,4,4,Não,Não,Não,Sim,1894,1994,Venda,13/09/2021
319.245.078-97,"Loteamento Azevedo, 28
Capitão Eduardo
71406309 Azevedo / SE",Terreno,126,587286,1,2,Não,Não,Não,Não,1504,1989,Venda,11/07/2024
689.301.572-03,"Rodovia de Marques, 3
Xangri-Lá
57917474 Freitas de Garcia / PR",Terreno,142,576662,4,4,Sim,Sim,Sim,Sim,1514,2019,Venda,01/01/2019
306.478.592-38,"Residencial Léo Fonseca, 62
Conjunto Santa Maria
01905-146 Barbosa de da Cruz / AL",Terreno,288,588384,5,5,Sim,Sim,Sim,Sim,388,2019,Aluguel,01/11/2025
184.769.532-91,"Esplanada Sophie Nogueira, 91
Maria Helena
03286093 Gomes de Minas / SP",Casa,174,452748,3,4,Não,Não,Não,Não,1380,2000,Aluguel,20/02/2024
351.429.806-89,"Morro de Barros
Coração Eucarístico
14305-110 Almeida / PR",Casa,238,630938,2,3,Não,Não,Não,Não,946,1989,Venda,19/06/2024
873.296.450-10,"Lago de da Conceição, 89
Vila Canto Do Sabiá
74357238 Novais / PR",Apartamento,254,948944,1,2,Não,Não,Não,Sim,902,1988,Aluguel,25/02/2021
790.625.318-30,"Quadra de Lopes, 86
Dom Cabral
68903966 Souza / TO",Casa,203,971761,3,4,Sim,Sim,Sim,Não,1993,1989,Aluguel,26/05/2024
870.653.124-53,"Núcleo Aparecida, 4
Santa Rita
44591-741 Ribeiro do Galho / ES",Terreno,196,922572,2,3,Sim,Sim,Sim,Não,222,1984,Aluguel,31/07/2024
107.348.925-60,"Pátio Caio Ribeiro, 143
Lindéia
95631-385 Martins de das Neves / RJ",Casa,425,1346825,2,4,Não,Sim,Sim,Não,1916,2004,Aluguel,19/09/2021
513.740.682-17,"Vereda Pinto, 212
Vila Canto Do Sabiá
15629-638 Moura das Pedras / RS",Casa,465,1377330,5,6,Não,Sim,Sim,Sim,1194,2004,Venda,27/11/2020
802.945.673-56,"Residencial Daniel Costela, 46
Nossa Senhora Da Aparecida
05356-213 Mendes do Sul / AP",Apartamento,453,1166022,5,6,Não,Não,Sim,Não,1505,2018,Aluguel,25/05/2023
247.918.536-28,"Residencial Raquel da Paz
Unidas
83301-894 Freitas da Praia / MT",Terreno,304,931152,3,3,Não,Não,Sim,Não,1152,2002,Venda,05/12/2020
857.041.326-26,"Viela Emanuella Campos
Padre Eustáquio
36566606 Rocha de Minas / AM",Terreno,389,1056135,5,5,Não,Sim,Sim,Sim,1575,1988,Venda,06/07/2024
571.026.894-11,"Distrito Rios, 4
São Vicente
85260587 Gomes do Norte / RS",Casa,278,927964,1,2,Não,Não,Não,Não,845,2014,Venda,11/11/2024
720.518.694-30,"Favela de da Paz, 6
Conjunto Jardim Filadélfia
93289-387 Barbosa Verde / PI",Terreno,71,305939,1,1,Não,Não,Não,Sim,1755,1985,Venda,21/01/2019
910.352.768-95,"Esplanada de Rocha
Alta Tensão 1ª Seção
72794340 Vargas de Minas / RR",Terreno,319,1378718,2,2,Não,Sim,Não,Sim,748,2003,Venda,09/10/2018
392.568.740-83,"Vale Luiz Felipe Vargas, 88
Cinquentenário
70899962 Moraes de Almeida / MT",Casa,409,922295,4,5,Não,Sim,Sim,Não,1552,2012,Venda,16/02/2019
709.218.534-32,"Lagoa de Leão
Vila Ouro Minas
10677-001 Jesus de Costa / RS",Apartamento,229,1016073,3,4,Sim,Sim,Sim,Não,832,1982,Venda,16/04/2024
109.328.475-79,"Parque Gustavo Câmara, 25
Alto Dos Pinheiros
46946-744 Mendonça do Galho / PA",Apartamento,345,960480,2,4,Não,Sim,Sim,Sim,1293,1985,Venda,01/01/2022
481.507.639-10,"Fazenda de Alves
Ventosa
00067929 da Costa de Minas / SP",Terreno,240,1176720,5,5,Sim,Sim,Sim,Sim,825,2002,Venda,11/08/2017
149.638.205-60,"Trecho de Freitas, 41
Vila Da Ária
26652290 Pires / AP",Apartamento,333,1315350,1,2,Sim,Sim,Sim,Não,1850,1992,Aluguel,03/04/2025
418.307.265-44,"Parque Castro, 83
Mantiqueira
21784-133 Sousa / PB",Casa,408,1061616,5,7,Não,Sim,Sim,Não,555,1982,Venda,26/02/2026
714.208.965-20,"Avenida de Lopes, 66
João Pinheiro
85446-873 Costela / RJ",Terreno,467,965756,2,2,Não,Não,Não,Sim,1187,1997,Aluguel,04/02/2023
084.129.675-85,"Recanto da Costa, 10
Alto Vera Cruz
62112506 Câmara de Araújo / RJ",Casa,176,784784,2,2,Sim,Sim,Não,Não,1313,1990,Aluguel,15/09/2022
182.576.934-64,"Travessa Sousa, 533
Horto Florestal
37999-957 Cavalcante / MT",Casa,254,1024128,2,3,Sim,Sim,Não,Não,1745,2015,Aluguel,04/01/2024
291.560.487-85,"Residencial de Fernandes, 78
Europa
13140219 Pimenta do Oeste / AL",Apartamento,363,1074117,5,7,Não,Não,Sim,Não,591,1992,Venda,18/07/2017
850.364.719-20,"Rodovia de da Mota
Horto
77476-567 Sampaio do Galho / BA",Casa,366,1821216,4,4,Sim,Sim,Não,Não,1691,2000,Venda,23/08/2022
675.841.203-26,"Lagoa Fonseca, 422
Jardim América
68165630 Pinto / AL",Casa,444,1209012,1,2,Sim,Sim,Sim,Não,1786,2016,Venda,06/10/2022
891.562.703-21,"Travessa Miguel Farias, 601
Vila Santa Rosa
67069-327 Castro Grande / BA",Casa,170,562020,2,2,Sim,Sim,Não,Não,1055,2013,Venda,07/02/2020
296.137.408-13,"Área de Sampaio, 52
Maria Helena
32377778 Aparecida / PB",Apartamento,466,2228412,5,6,Não,Sim,Não,Não,702,1983,Aluguel,23/05/2026
849.362.015-70,"Distrito Antônio Pinto, 7
Savassi
15398-115 Sousa / GO",Terreno,132,601128,4,5,Não,Sim,Não,Não,1976,1996,Venda,10/05/2017
120.876.593-03,"Praça Novaes
Marieta 2ª Seção
42964892 Mendonça Alegre / RN",Terreno,304,992560,5,6,Sim,Sim,Sim,Sim,785,2008,Aluguel,01/10/2024
063.875.291-40,"Viela de Pereira, 69
Estoril
89939-962 Cirino / ES",Casa,456,1043784,5,6,Não,Não,Sim,Não,646,1994,Aluguel,02/12/2022
498.367.215-09,"Quadra Rezende, 62
Nova Esperança
96661591 Casa Grande de Minas / MA",Casa,153,715122,3,4,Sim,Sim,Sim,Não,625,2011,Aluguel,23/10/2016
857.094.162-58,"Aeroporto Ravi Duarte
Vila Madre Gertrudes 2ª Seção
92214426 Nascimento / RS",Casa,114,465804,1,1,Não,Sim,Não,Não,935,2005,Aluguel,13/05/2020
156.709.283-77,"Estrada Noah Siqueira
Vila Independencia 1ª Seção
91839797 Farias da Prata / RO",Terreno,487,1959201,5,7,Não,Não,Sim,Não,1805,1988,Venda,19/05/2022
976.420.351-52,"Chácara Novaes, 1
Vila Nova Dos Milionarios
30144-126 Macedo / AC",Casa,98,213934,5,5,Sim,Sim,Não,Sim,1710,1988,Aluguel,07/09/2020
375.290.146-25,"Campo Gonçalves, 318
Distrito Industrial Do Jatoba
22991328 Rocha / MT",Terreno,303,936876,1,2,Não,Não,Sim,Não,1371,1992,Venda,25/07/2021
106.258.937-86,"Avenida de da Mata
Monte São José
32882-680 Gomes de Vasconcelos / RS",Terreno,334,898794,2,3,Não,Sim,Sim,Sim,723,1985,Aluguel,13/06/2018
972.046.318-03,"Setor de Aparecida, 82
Mala E Cuia
92893985 Montenegro / MT",Casa,238,877744,5,7,Sim,Sim,Sim,Sim,1642,2013,Aluguel,02/01/2023
048.965.732-00,"Trecho Juan Santos, 2
Vila Esplanada
60704104 Sales da Mata / DF",Apartamento,88,430320,2,4,Sim,Sim,Não,Sim,1372,2002,Aluguel,24/01/2020
749.836.021-78,"Loteamento de Aparecida, 882
Leticia
42244-220 Cardoso Alegre / RN",Terreno,155,767870,1,1,Sim,Sim,Sim,Não,1323,2007,Venda,06/06/2025
817.942.053-14,"Avenida de Ramos
Senhor Dos Passos
32633-493 Mendonça / RS",Terreno,199,414517,5,6,Sim,Sim,Não,Sim,1463,2022,Aluguel,01/07/2023
201.574.936-52,"Setor de Lopes, 740
Bernadete
31153630 Rezende de Casa Grande / AC",Casa,73,235644,4,6,Sim,Sim,Não,Sim,1995,2000,Venda,26/05/2018
493.701.856-66,"Morro Mendonça
Monsenhor Messias
44383869 da Conceição / RN",Apartamento,154,687148,4,5,Não,Sim,Não,Sim,831,2016,Venda,22/04/2026
935.261.748-73,"Campo Azevedo, 6
Cabana Do Pai Tomás
17216727 Teixeira de Sousa / AC",Terreno,130,503750,3,4,Sim,Sim,Não,Não,716,1981,Venda,09/07/2021
358.720.641-44,"Jardim Ramos, 85
Copacabana
12368-280 Pimenta / PE",Apartamento,483,2076417,2,3,Sim,Sim,Não,Sim,1544,2015,Aluguel,16/01/2026
917.504.682-20,"Rodovia de Andrade, 3
Casa Branca
52551-994 Cavalcanti do Norte / RR",Terreno,61,227591,5,5,Não,Sim,Não,Sim,1685,2008,Aluguel,03/04/2017
925.483.061-51,"Lago de Vieira, 70
Pongelupe
87463965 Sampaio do Norte / AP",Apartamento,95,466260,3,5,Sim,Sim,Não,Sim,1802,1990,Aluguel,08/02/2025
386.452.791-00,"Conjunto Luigi Borges, 25
Santa Lúcia
94142877 Azevedo Paulista / RS",Terreno,286,1252966,2,2,Não,Não,Não,Sim,928,1995,Aluguel,19/04/2023
319.250.468-42,"Campo Maitê Caldeira
Jardim Atlântico
52048695 Correia da Mata / RS",Terreno,409,1680172,4,6,Sim,Sim,Sim,Não,224,1992,Aluguel,29/05/2021
689.704.352-47,"Colônia de Vasconcelos, 11
São Salvador
66802-022 Lima da Serra / MG",Terreno,121,271645,4,5,Não,Não,Não,Sim,1016,1993,Venda,29/08/2017
490.578.361-57,"Chácara Guerra, 40
Pilar
25458-129 Campos / GO",Apartamento,188,902776,3,3,Não,Não,Não,Não,1275,2013,Venda,25/09/2020
356.248.079-29,"Quadra Casa Grande
Candelaria
70564-150 Teixeira / RJ",Apartamento,146,468076,5,7,Sim,Sim,Não,Não,987,2003,Aluguel,28/03/2017
689.307.145-01,"Viaduto Carvalho
Vila Santo Antônio Barroquinha
84456094 Costela / MA",Apartamento,166,450524,5,5,Não,Sim,Sim,Não,1871,2007,Venda,29/07/2022
849.736.015-00,"Passarela de Câmara, 49
Vila Oeste
32842368 Sá / PE",Terreno,310,1458860,2,4,Sim,Sim,Sim,Não,857,1992,Venda,28/08/2016
609.834.175-39,"Residencial Léo Porto, 76
Caetano Furquim
30303801 Garcia / AL",Apartamento,271,1272074,1,1,Sim,Sim,Não,Não,611,1980,Venda,17/05/2025
042.861.739-50,"Chácara Agatha Azevedo, 740
Vila Nova
62982-008 Oliveira de Lima / AP",Casa,463,2195546,4,5,Sim,Sim,Sim,Sim,1054,1983,Venda,20/02/2023
048.957.126-30,"Pátio Araújo, 287
Jardim Atlântico
16354-102 da Costa / PI",Casa,254,896620,2,2,Sim,Sim,Sim,Sim,1638,2018,Aluguel,08/04/2020
528.197.046-11,"Passarela Fonseca, 44
Santa Rosa
92124-131 Souza Verde / AP",Casa,220,979220,2,3,Não,Não,Sim,Não,340,2019,Aluguel,18/01/2021
650.492.138-51,"Colônia Theodoro Vasconcelos, 79
Vila Nova Cachoeirinha 1ª Seção
73676-318 da Cruz de Ferreira / PR",Casa,378,1423170,2,4,Sim,Sim,Não,Sim,1182,1990,Aluguel,29/07/2024
987.326.145-19,"Fazenda Luiza da Costa, 29
Vila São Paulo
93877853 Castro / PA",Terreno,205,594705,4,6,Sim,Sim,Não,Sim,216,2005,Aluguel,27/09/2023
152.479.086-94,"Pátio de Guerra, 915
Aarão Reis
85349185 Cassiano / RJ",Casa,57,243333,1,1,Sim,Sim,Sim,Sim,1748,1985,Aluguel,22/08/2019
394.508.621-33,"Rua Abreu, 9
Ernesto Nascimento
08653242 Jesus de Cavalcante / MS",Terreno,385,964040,1,2,Não,Não,Sim,Não,230,1981,Aluguel,30/10/2017
310.726.894-13,"Jardim Heloisa Rios, 45
Engenho Nogueira
89347-202 Souza do Sul / SP",Casa,60,222360,3,5,Não,Não,Sim,Sim,1361,2023,Aluguel,30/12/2016
834.612.970-03,"Praça Enzo Gabriel Nunes, 94
Novo Ouro Preto
62059652 Lima / RO",Casa,283,1262746,4,4,Não,Sim,Não,Sim,452,2012,Venda,11/12/2024
367.541.829-46,"Estrada da Luz, 4
Vila Trinta E Um De Março
75795-164 da Rosa / BA",Apartamento,388,940512,3,5,Não,Não,Não,Não,1055,1996,Venda,28/11/2017
547.820.931-79,"Chácara Heloisa da Cunha
Vila Nova Gameleira 3ª Seção
29855683 Novais / RJ",Apartamento,418,1717562,2,2,Não,Não,Sim,Sim,1751,1980,Venda,27/10/2021
430.815.296-89,"Vale de Rodrigues, 6
Cidade Jardim Taquaril
42874-672 Casa Grande / AC",Apartamento,417,876117,4,4,Não,Sim,Sim,Sim,1641,2015,Venda,14/08/2021
273.864.950-56,"Vereda Novais, 5
Marieta 2ª Seção
50787-266 Nogueira Grande / PE",Terreno,464,2023040,2,2,Não,Não,Não,Não,1506,2011,Aluguel,10/05/2023
470.869.251-01,"Ladeira Noah Farias, 46
Vila Minaslandia
42125-144 Duarte / MT",Terreno,72,216432,3,3,Sim,Sim,Sim,Sim,845,2008,Venda,02/10/2019
